,mofid,mofkey,smiles_nodes,smiles_linkers,smiles,topology,cat,cifname
0,N#Cc1cc(C(=O)[O-])c2c(c1C(=O)[O-])ccc(c2)C.N#Cc1cc2c(c3c1ccc(c3)C(=O)[O-])ccc1c2cc(cc1)C(=O)[O-].[Zn][Zn].c1ccc2c(c1)nccn2 MOFid-v1.bcu.cat0;mof_unit_pretest_901,Cr.OGODBDVSWNRAGS.RDBWTHFUCMBUJW.MOFkey-v1.bcu,['[Zn][Zn]'],"['N#Cc1cc(C(=O)[O-])c2c(c1C(=O)[O-])ccc(c2)C', 'N#Cc1cc2c(c3c1ccc(c3)C(=O)[O-])ccc1c2cc(cc1)C(=O)[O-]', 'c1ccc2c(c1)nccn2']",N#Cc1cc(C(=O)[O-])c2c(c1C(=O)[O-])ccc(c2)C.N#Cc1cc2c(c3c1ccc(c3)C(=O)[O-])ccc1c2cc(cc1)C(=O)[O-].[Zn][Zn].c1ccc2c(c1)nccn2,bcu,0,mof_unit_pretest_901
1,Cc1cc(ccc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1C)C(=O)[O-].[O].[V] MOFid-v1.bcu.cat0;mof_unit_pretest_902,Cr.OGODBDVSWNRAGS.RDBWTHFUCMBUJW.MOFkey-v1.bcu,"['[O]', '[V]']","['Cc1cc(ccc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]', '[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1C)C(=O)[O-]']",Cc1cc(ccc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1C)C(=O)[O-].[O].[V],bcu,0,mof_unit_pretest_902
2,COC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])O.COC1CC2(CCC1(CC2(O)O)C(=O)[O-])C(=O)[O-].OC1CN2CCN1CC2.[Zn][Zn] MOFid-v1.bcu.cat0;mof_unit_pretest_903,Cr.OGODBDVSWNRAGS.RDBWTHFUCMBUJW.MOFkey-v1.bcu,['[Zn][Zn]'],"['COC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])O', 'COC1CC2(CCC1(CC2(O)O)C(=O)[O-])C(=O)[O-]', 'OC1CN2CCN1CC2']",COC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])O.COC1CC2(CCC1(CC2(O)O)C(=O)[O-])C(=O)[O-].OC1CN2CCN1CC2.[Zn][Zn],bcu,0,mof_unit_pretest_903
3,CCCOc1c(C(=O)[O-])c(cc2c1c1ccc3c(c1cc2)c(OCCC)c(c(c3)C(=O)O)C(=O)[O-])C(=O)O.CCCOc1c(ccc(c1C(=O)O)[N][N]c1ccc(c(c1C(=O)O)OCCC)C(=O)[O-])C(=O)[O-].CCCOc1cnc(c(c1N=Nc1c(OCCC)cnc(c1C(=O)O)C(=O)O)C(=O)O)C(=O)O.[Zn][Zn] MOFid-v1.bcu.cat0;mof_unit_pretest_904,Cr.OGODBDVSWNRAGS.RDBWTHFUCMBUJW.MOFkey-v1.bcu,['[Zn][Zn]'],"['CCCOc1c(C(=O)[O-])c(cc2c1c1ccc3c(c1cc2)c(OCCC)c(c(c3)C(=O)O)C(=O)[O-])C(=O)O', 'CCCOc1c(ccc(c1C(=O)O)[N][N]c1ccc(c(c1C(=O)O)OCCC)C(=O)[O-])C(=O)[O-]', 'CCCOc1cnc(c(c1N=Nc1c(OCCC)cnc(c1C(=O)O)C(=O)O)C(=O)O)C(=O)O']",CCCOc1c(C(=O)[O-])c(cc2c1c1ccc3c(c1cc2)c(OCCC)c(c(c3)C(=O)O)C(=O)[O-])C(=O)O.CCCOc1c(ccc(c1C(=O)O)[N][N]c1ccc(c(c1C(=O)O)OCCC)C(=O)[O-])C(=O)[O-].CCCOc1cnc(c(c1N=Nc1c(OCCC)cnc(c1C(=O)O)C(=O)O)C(=O)O)C(=O)O.[Zn][Zn],bcu,0,mof_unit_pretest_904
4,"N#CC12C3C4(C2(C2C1(C3(C42C#N)S([O])([O])O)S(O)([O])[O])S(O)([O])[O])S([O])([O])O.[O-]C(=O)C#CC12C3C4(C2(C2C1(C3(C42C#CC(=O)[O-])S([O])(O)[O])S(O)([O])[O])S([O])(O)[O])S([O])([O])O.[Zn][Zn] MOFid-v1.bcu,nbo.cat0;mof_unit_pretest_905",Cr.OGODBDVSWNRAGS.RDBWTHFUCMBUJW.MOFkey-v1.bcu,['[Zn][Zn]'],"['N#CC12C3C4(C2(C2C1(C3(C42C#N)S([O])([O])O)S(O)([O])[O])S(O)([O])[O])S([O])([O])O', '[O-]C(=O)C#CC12C3C4(C2(C2C1(C3(C42C#CC(=O)[O-])S([O])(O)[O])S(O)([O])[O])S([O])(O)[O])S([O])([O])O']",N#CC12C3C4(C2(C2C1(C3(C42C#N)S([O])([O])O)S(O)([O])[O])S(O)([O])[O])S([O])([O])O.[O-]C(=O)C#CC12C3C4(C2(C2C1(C3(C42C#CC(=O)[O-])S([O])(O)[O])S(O)([O])[O])S([O])(O)[O])S([O])([O])O.[Zn][Zn],"bcu,nbo",0,mof_unit_pretest_905
5,N#N.[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)c1c(Cl)c(I)c(c(c1Cl)I)C#Cc1c(I)c(Cl)c(c(c1I)Cl)C(=O)[O-].[Zn][Zn] MOFid-v1.bcu.cat0;mof_unit_pretest_906,Cr.OGODBDVSWNRAGS.RDBWTHFUCMBUJW.MOFkey-v1.bcu,['[Zn][Zn]'],"['N#N', '[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)c1c(Cl)c(I)c(c(c1Cl)I)C#Cc1c(I)c(Cl)c(c(c1I)Cl)C(=O)[O-]']",N#N.[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)c1c(Cl)c(I)c(c(c1Cl)I)C#Cc1c(I)c(Cl)c(c(c1I)Cl)C(=O)[O-].[Zn][Zn],bcu,0,mof_unit_pretest_906
6,"O=Cc1c(Cl)c(C=O)c(c2c1c(C(=O)[O-])c1c(C=O)c(C=O)c(c(c1c2C(=O)[O-])C=O)Cl)C=O.O=Cc1c(Cl)c(C=O)c(c2c1c(C(=O)[O-])c1c(C=O)c(Cl)c(cc1c2C(=O)[O-])Cl)Cl.[O-]C(=O)C#CC#CC#CC(=O)[O-].[O].[V] MOFid-v1.bcu,pcu.cat0;mof_unit_pretest_907",Cr.OGODBDVSWNRAGS.RDBWTHFUCMBUJW.MOFkey-v1.bcu,"['[O]', '[V]']","['O=Cc1c(Cl)c(C=O)c(c2c1c(C(=O)[O-])c1c(C=O)c(C=O)c(c(c1c2C(=O)[O-])C=O)Cl)C=O', 'O=Cc1c(Cl)c(C=O)c(c2c1c(C(=O)[O-])c1c(C=O)c(Cl)c(cc1c2C(=O)[O-])Cl)Cl', '[O-]C(=O)C#CC#CC#CC(=O)[O-]']",O=Cc1c(Cl)c(C=O)c(c2c1c(C(=O)[O-])c1c(C=O)c(C=O)c(c(c1c2C(=O)[O-])C=O)Cl)C=O.O=Cc1c(Cl)c(C=O)c(c2c1c(C(=O)[O-])c1c(C=O)c(Cl)c(cc1c2C(=O)[O-])Cl)Cl.[O-]C(=O)C#CC#CC#CC(=O)[O-].[O].[V],"bcu,pcu",0,mof_unit_pretest_907
7,C[NH]=C(C(=[NH]C)C(=O)[O-])C=CC(=O)[O-].[Cu][Cu].[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-].c1cnc2c(n1)CC2 MOFid-v1.bcu.cat0;mof_unit_pretest_908,Cr.OGODBDVSWNRAGS.RDBWTHFUCMBUJW.MOFkey-v1.bcu,['[Cu][Cu]'],"['C[NH]=C(C(=[NH]C)C(=O)[O-])C=CC(=O)[O-]', '[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-]', 'c1cnc2c(n1)CC2']",C[NH]=C(C(=[NH]C)C(=O)[O-])C=CC(=O)[O-].[Cu][Cu].[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-].c1cnc2c(n1)CC2,bcu,0,mof_unit_pretest_908
8,"Cc1cc(ccc1c1cc(N(=O)=O)c(c(c1C)C)C(=O)[O-])C(=O)[O-].[Cr][O]([Cr])[Cr].[O-]C(=O)C1=C(C)c2c3c(=[C]1)c(C)c(C)c1c3c(=C(C(=[C]1)C(=O)[O-])C)c(c2C)C.[O-]C(=O)c1c(cc(c(c1N(=O)=O)C)c1cc(C)c(c(c1N(=O)=O)C)C(=O)[O-])N(=O)=O.[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-] MOFid-v1.bcu,rna.cat0;mof_unit_pretest_909",Cr.OGODBDVSWNRAGS.RDBWTHFUCMBUJW.MOFkey-v1.bcu,['[Cr][O]([Cr])[Cr]'],"['Cc1cc(ccc1c1cc(N(=O)=O)c(c(c1C)C)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C1=C(C)c2c3c(=[C]1)c(C)c(C)c1c3c(=C(C(=[C]1)C(=O)[O-])C)c(c2C)C', '[O-]C(=O)c1c(cc(c(c1N(=O)=O)C)c1cc(C)c(c(c1N(=O)=O)C)C(=O)[O-])N(=O)=O', '[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]']",Cc1cc(ccc1c1cc(N(=O)=O)c(c(c1C)C)C(=O)[O-])C(=O)[O-].[Cr][O]([Cr])[Cr].[O-]C(=O)C1=C(C)c2c3c(=[C]1)c(C)c(C)c1c3c(=C(C(=[C]1)C(=O)[O-])C)c(c2C)C.[O-]C(=O)c1c(cc(c(c1N(=O)=O)C)c1cc(C)c(c(c1N(=O)=O)C)C(=O)[O-])N(=O)=O.[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],"bcu,rna",0,mof_unit_pretest_909
9,"OC(=O)N=CC=NC(=O)O.OC(=O)c1c(C(=O)O)c(cc(c1C(=O)[O-])S(O)([O])[O])N1C(=O)c2ccc3c4c2c(C1=O)c(c(c4c1c2c3c(C(=O)O)c(c3c2c(cc1)C(=O)N(C3=O)c1cc(c(c(c1C(=O)O)C(=O)O)C(=O)[O-])S([O])([O])O)S(O)([O])[O])C(=O)O)S([O])(O)[O].[O-]C(=O)C=CC=CC(=O)[O-].[Zn][Zn] MOFid-v1.bcu,pcu.cat0;mof_unit_pretest_910",Cr.OGODBDVSWNRAGS.RDBWTHFUCMBUJW.MOFkey-v1.bcu,['[Zn][Zn]'],"['OC(=O)N=CC=NC(=O)O', 'OC(=O)c1c(C(=O)O)c(cc(c1C(=O)[O-])S(O)([O])[O])N1C(=O)c2ccc3c4c2c(C1=O)c(c(c4c1c2c3c(C(=O)O)c(c3c2c(cc1)C(=O)N(C3=O)c1cc(c(c(c1C(=O)O)C(=O)O)C(=O)[O-])S([O])([O])O)S(O)([O])[O])C(=O)O)S([O])(O)[O]', '[O-]C(=O)C=CC=CC(=O)[O-]']",OC(=O)N=CC=NC(=O)O.OC(=O)c1c(C(=O)O)c(cc(c1C(=O)[O-])S(O)([O])[O])N1C(=O)c2ccc3c4c2c(C1=O)c(c(c4c1c2c3c(C(=O)O)c(c3c2c(cc1)C(=O)N(C3=O)c1cc(c(c(c1C(=O)O)C(=O)O)C(=O)[O-])S([O])([O])O)S(O)([O])[O])C(=O)O)S([O])(O)[O].[O-]C(=O)C=CC=CC(=O)[O-].[Zn][Zn],"bcu,pcu",0,mof_unit_pretest_910
