,mofid,mofkey,smiles_nodes,smiles_linkers,smiles,topology,cat,cifname
0,Fc1cc(cc(c1c1cc(F)c(c(c1)F)C(=O)[O-])F)C(=O)[O-].Oc1nc(F)c(c(c1O)c1c(O)c(O)nc(c1O)F)O.[O-]C(=O)C12C(O)(F)C(F)C(C(C1(O)F)F)(C(C2(O)O)(F)F)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;mof_unit_pretest_1526,Zn.ARBAMECCCQZCSR.JQDBBTGJEQPMJR.JZWHHSBLBDDHHK.MOFkey-v1.pcu,['[Zn][Zn]'],"['Fc1cc(cc(c1c1cc(F)c(c(c1)F)C(=O)[O-])F)C(=O)[O-]', 'Oc1nc(F)c(c(c1O)c1c(O)c(O)nc(c1O)F)O', '[O-]C(=O)C12C(O)(F)C(F)C(C(C1(O)F)F)(C(C2(O)O)(F)F)C(=O)[O-]']",Fc1cc(cc(c1c1cc(F)c(c(c1)F)C(=O)[O-])F)C(=O)[O-].Oc1nc(F)c(c(c1O)c1c(O)c(O)nc(c1O)F)O.[O-]C(=O)C12C(O)(F)C(F)C(C(C1(O)F)F)(C(C2(O)O)(F)F)C(=O)[O-].[Zn][Zn],pcu,0,mof_unit_pretest_1526
1,CNCCOP(=O)(c1cc(c2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)c(cc1P(=O)(OCC)[O])P(=O)(OC(F)C)[O])P(=O)(OCC)[O])[O].CNCCOP(=O)(c1cc(cc(c1)P(=O)(OCC)[O])c1cc(cc(c1)P(=O)(OCC)[O])P(=O)(OCC)[O])[O].[Ba] MOFid-v1.pcu.cat0;mof_unit_pretest_1527,"V.IVHBREJLPGXBAS.OPTSVFCNOLABCP.MOFkey-v1.pcu
DVVLN.MOFkey-v1.pcu",['[Ba]'],"['CNCCOP(=O)(c1cc(c2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)c(cc1P(=O)(OCC)[O])P(=O)(OC(F)C)[O])P(=O)(OCC)[O])[O]', 'CNCCOP(=O)(c1cc(cc(c1)P(=O)(OCC)[O])c1cc(cc(c1)P(=O)(OCC)[O])P(=O)(OCC)[O])[O]']",CNCCOP(=O)(c1cc(c2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)c(cc1P(=O)(OCC)[O])P(=O)(OC(F)C)[O])P(=O)(OCC)[O])[O].CNCCOP(=O)(c1cc(cc(c1)P(=O)(OCC)[O])c1cc(cc(c1)P(=O)(OCC)[O])P(=O)(OCC)[O])[O].[Ba],pcu,0,mof_unit_pretest_1527
2,CCOC12C3C4C2(C2(C1C3(C42)C#CC(=O)[O-])OCC)C#CC(=O)[O-].[O-]C(=O)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;mof_unit_pretest_1528,"V.IVHBREJLPGXBAS.OPTSVFCNOLABCP.MOFkey-v1.pcu
DVVLN.MOFkey-v1.pcu",['[Zn][Zn]'],"['CCOC12C3C4C2(C2(C1C3(C42)C#CC(=O)[O-])OCC)C#CC(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]']",CCOC12C3C4C2(C2(C1C3(C42)C#CC(=O)[O-])OCC)C#CC(=O)[O-].[O-]C(=O)C#CC(=O)[O-].[Zn][Zn],pcu,0,mof_unit_pretest_1528
3,"COC1C(OC)c2c1c(C(=O)[O-])c(c(c2C(=O)[O-])OC)OC.COC1Cc2c1c(ccc2C(=O)[O-])C(=O)[O-].[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.ERROR,pcu.cat0;mof_unit_pretest_1529",Zn.NXYYTZJIAWGIDF.USZXDNVMPDEEBP.MOFkey-v1.ERROR,['[Zn][Zn]'],"['COC1C(OC)c2c1c(C(=O)[O-])c(c(c2C(=O)[O-])OC)OC', 'COC1Cc2c1c(ccc2C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-]']",COC1C(OC)c2c1c(C(=O)[O-])c(c(c2C(=O)[O-])OC)OC.COC1Cc2c1c(ccc2C(=O)[O-])C(=O)[O-].[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[Zn][Zn],"ERROR,pcu",0,mof_unit_pretest_1529
4,CCOP(=O)(c1c2cc(F)c3c4c2c(c(c1F)P(=O)(OC(C(F)F)F)[O])cc(c4c(cc3P(=O)(OC(F)C)[O])P(=O)(OC(CF)F)[O])F)[O].FCCOP(=O)([C]1C=C([CH][C][C]1C(=CC1=C(C=C(C=[C]1)P(=O)(OCC)[O])P(=O)(OCC(F)F)[O])F)P(=O)(OC(CF)F)[O])[O].[Ba] MOFid-v1.pcu.cat0;mof_unit_pretest_1530,Zn.ARBAMECCCQZCSR.JQDBBTGJEQPMJR.JZWHHSBLBDDHHK.MOFkey-v1.pcu,['[Ba]'],"['CCOP(=O)(c1c2cc(F)c3c4c2c(c(c1F)P(=O)(OC(C(F)F)F)[O])cc(c4c(cc3P(=O)(OC(F)C)[O])P(=O)(OC(CF)F)[O])F)[O]', 'FCCOP(=O)([C]1C=C([CH][C][C]1C(=CC1=C(C=C(C=[C]1)P(=O)(OCC)[O])P(=O)(OCC(F)F)[O])F)P(=O)(OC(CF)F)[O])[O]']",CCOP(=O)(c1c2cc(F)c3c4c2c(c(c1F)P(=O)(OC(C(F)F)F)[O])cc(c4c(cc3P(=O)(OC(F)C)[O])P(=O)(OC(CF)F)[O])F)[O].FCCOP(=O)([C]1C=C([CH][C][C]1C(=CC1=C(C=C(C=[C]1)P(=O)(OCC)[O])P(=O)(OCC(F)F)[O])F)P(=O)(OC(CF)F)[O])[O].[Ba],pcu,0,mof_unit_pretest_1530
5,CNC12C3C4(C1C1(C2(C3(C41Br)Br)C(=O)[O-])Br)C(=O)[O-].CNc1c(C(=O)[O-])c(NC)c(c(c1Br)C(=O)[O-])Br.CNc1c(ccc(c1NC)C(=O)[O-])C(=O)[O-].CNc1cc(C(=O)[O-])c(c(c1C(=O)[O-])NC)NC.CNc1cc(cc(c1C(=O)[O-])Br)C(=O)[O-].[O-]C(=O)c1cc(Br)c(c(c1Br)Br)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;mof_unit_pretest_1531,Zn.CZOZGSLYQYNOPN.USZXDNVMPDEEBP.MOFkey-v1.pcu,['[Zn][Zn]'],"['CNC12C3C4(C1C1(C2(C3(C41Br)Br)C(=O)[O-])Br)C(=O)[O-]', 'CNc1c(C(=O)[O-])c(NC)c(c(c1Br)C(=O)[O-])Br', 'CNc1c(ccc(c1NC)C(=O)[O-])C(=O)[O-]', 'CNc1cc(C(=O)[O-])c(c(c1C(=O)[O-])NC)NC', 'CNc1cc(cc(c1C(=O)[O-])Br)C(=O)[O-]', '[O-]C(=O)c1cc(Br)c(c(c1Br)Br)C(=O)[O-]']",CNC12C3C4(C1C1(C2(C3(C41Br)Br)C(=O)[O-])Br)C(=O)[O-].CNc1c(C(=O)[O-])c(NC)c(c(c1Br)C(=O)[O-])Br.CNc1c(ccc(c1NC)C(=O)[O-])C(=O)[O-].CNc1cc(C(=O)[O-])c(c(c1C(=O)[O-])NC)NC.CNc1cc(cc(c1C(=O)[O-])Br)C(=O)[O-].[O-]C(=O)c1cc(Br)c(c(c1Br)Br)C(=O)[O-].[Zn][Zn],pcu,0,mof_unit_pretest_1531
6,N#CC(=C(c1c(N)cc(c(c1C#N)N)C(=O)[O-])C#N)c1c(N)cc(c(c1C#N)N)C(=O)[O-].N#Cc1c(C#CC(=O)[O-])c(C#N)c(c(c1C#N)C#CC(=O)[O-])C#N.N#Cc1c(C#N)c(C#N)c(c(c1C#N)C#N)C#N.[Cu][Cu] MOFid-v1.pcu.cat0;mof_unit_pretest_1532,Zn.QMAIWYVQUCPOJA.SUWUPUWPGJRZAT.ZUWHVBACMZGRHD.MOFkey-v1.pcu,['[Cu][Cu]'],"['N#CC(=C(c1c(N)cc(c(c1C#N)N)C(=O)[O-])C#N)c1c(N)cc(c(c1C#N)N)C(=O)[O-]', 'N#Cc1c(C#CC(=O)[O-])c(C#N)c(c(c1C#N)C#CC(=O)[O-])C#N', 'N#Cc1c(C#N)c(C#N)c(c(c1C#N)C#N)C#N']",N#CC(=C(c1c(N)cc(c(c1C#N)N)C(=O)[O-])C#N)c1c(N)cc(c(c1C#N)N)C(=O)[O-].N#Cc1c(C#CC(=O)[O-])c(C#N)c(c(c1C#N)C#CC(=O)[O-])C#N.N#Cc1c(C#N)c(C#N)c(c(c1C#N)C#N)C#N.[Cu][Cu],pcu,0,mof_unit_pretest_1532
7,COc1cncc(c1C1=N[N]C(=N[N]1)c1c(OC)cncc1OC)OC.COc1cncc(c1c1nnc(nn1)c1c(OC)cncc1OC)OC.[Cu][Cu].[O-]C(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C1=N[N]C(=N[N]1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)[O-] MOFid-v1.pcu.cat0;mof_unit_pretest_1533,Zn.HXNIBFPGBVCCBB.OPVSBDOKQDJROR.UUEJQPNHPMCBFD.VOSBVXUKRQZGDE.XTICAYZVIVSGIH.XZUKXYZVKRJADC.MOFkey-v1.pcu,['[Cu][Cu]'],"['COc1cncc(c1C1=N[N]C(=N[N]1)c1c(OC)cncc1OC)OC', 'COc1cncc(c1c1nnc(nn1)c1c(OC)cncc1OC)OC', '[O-]C(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C1=N[N]C(=N[N]1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)[O-]']",COc1cncc(c1C1=N[N]C(=N[N]1)c1c(OC)cncc1OC)OC.COc1cncc(c1c1nnc(nn1)c1c(OC)cncc1OC)OC.[Cu][Cu].[O-]C(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C1=N[N]C(=N[N]1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)[O-],pcu,0,mof_unit_pretest_1533
8,Clc1nccc(c1)N=Nc1ccnc(c1)Cl.[Cu][Cu].[O-]C(=O)C#CC=CC#CC(=O)[O-].[O-]C(=O)c1cc(Cl)c(cc1Cl)[N][N]c1cc(Cl)c(cc1Cl)C(=O)[O-] MOFid-v1.pcu.cat0;mof_unit_pretest_1534,Cu.DMLUMGRBZUECLF.FPGVKJSKJBVVOS.SNZIHWDQMCEELP.SUWUPUWPGJRZAT.MOFkey-v1.pcu,['[Cu][Cu]'],"['Clc1nccc(c1)N=Nc1ccnc(c1)Cl', '[O-]C(=O)C#CC=CC#CC(=O)[O-]', '[O-]C(=O)c1cc(Cl)c(cc1Cl)[N][N]c1cc(Cl)c(cc1Cl)C(=O)[O-]']",Clc1nccc(c1)N=Nc1ccnc(c1)Cl.[Cu][Cu].[O-]C(=O)C#CC=CC#CC(=O)[O-].[O-]C(=O)c1cc(Cl)c(cc1Cl)[N][N]c1cc(Cl)c(cc1Cl)C(=O)[O-],pcu,0,mof_unit_pretest_1534
9,[Cu][Cu].[O-]C(=O)C#CC12CCC(CC1)(CC2)C#CC(=O)[O-].[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-].[O-]C(=O)c1ccc(c2c1CC2C(=O)O)C(=O)[O-] MOFid-v1.pcu.cat0;mof_unit_pretest_1535,Cu.HXSQWRDIBAZRJH.KYPOHTVBFVELTG.XQENSPLFPZNZCB.MOFkey-v1.pcu,['[Cu][Cu]'],"['[O-]C(=O)C#CC12CCC(CC1)(CC2)C#CC(=O)[O-]', '[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-]', '[O-]C(=O)c1ccc(c2c1CC2C(=O)O)C(=O)[O-]']",[Cu][Cu].[O-]C(=O)C#CC12CCC(CC1)(CC2)C#CC(=O)[O-].[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-].[O-]C(=O)c1ccc(c2c1CC2C(=O)O)C(=O)[O-],pcu,0,mof_unit_pretest_1535
