,mofid,mofkey,smiles_nodes,smiles_linkers,smiles,topology,cat,cifname
0,Nc1c2c(c(N)c(c3c2cncc3)N)c2c(c1N)ccnc2.[Cu][Cu].[O-]C(=O)C#CC#CC(=O)[O-].[O-]C(=O)c1cc2c3cc(O)c4c(c3cc(c2c(c1N)O)O)cc(c(c4O)N)C(=O)[O-] MOFid-v1.pcu.cat0;mof_unit_pretest_1039,Cu.BKMPHPVKPCPFIL.NSJQCXFGMUNZGF.USZXDNVMPDEEBP.MOFkey-v1.pcu,['[Cu][Cu]'],"['Nc1c2c(c(N)c(c3c2cncc3)N)c2c(c1N)ccnc2', '[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)c1cc2c3cc(O)c4c(c3cc(c2c(c1N)O)O)cc(c(c4O)N)C(=O)[O-]']",Nc1c2c(c(N)c(c3c2cncc3)N)c2c(c1N)ccnc2.[Cu][Cu].[O-]C(=O)C#CC#CC(=O)[O-].[O-]C(=O)c1cc2c3cc(O)c4c(c3cc(c2c(c1N)O)O)cc(c(c4O)N)C(=O)[O-],pcu,0,mof_unit_pretest_1039
1,"N#N.[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)[CH][CH]c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR,pcu.cat0;mof_unit_pretest_1041",Zn.IJGRMHOSHXDMSA.MEBBBHXDNCYCEZ.YTIVTFGABIZHHX.MOFkey-v1.ERROR,['[Zn][Zn]'],"['N#N', '[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)[CH][CH]c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)[O-]']",N#N.[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)[CH][CH]c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)[O-].[Zn][Zn],"ERROR,pcu",0,mof_unit_pretest_1041
2,"Fc1cc2c(c(c1N)N)c(C(=O)[O-])c1c(c2C(=O)[O-])c(F)c(c(c1N)N)N.[O-]C(=O)C#CC12C(F)CC(C(C1F)(N)N)(C(C2N)(N)F)C#CC(=O)[O-].[O-]C(=O)C#CC12CCC(C(C1)N)(C(C2F)F)C#CC(=O)[O-].[O-]C(=O)c1c2ccc(c(c2c(c2c1c(F)cc(c2N)N)C(=O)[O-])F)N.[O].[V] MOFid-v1.rna,pcu.cat0;mof_unit_pretest_1044",V.KRVLVSAXJCDUBW.MXOZZOMLRYFYHL.NPAADQDMOBOYQM.UIWOSDOVOOZNRC.MOFkey-v1.rna,"['[O]', '[V]']","['Fc1cc2c(c(c1N)N)c(C(=O)[O-])c1c(c2C(=O)[O-])c(F)c(c(c1N)N)N', '[O-]C(=O)C#CC12C(F)CC(C(C1F)(N)N)(C(C2N)(N)F)C#CC(=O)[O-]', '[O-]C(=O)C#CC12CCC(C(C1)N)(C(C2F)F)C#CC(=O)[O-]', '[O-]C(=O)c1c2ccc(c(c2c(c2c1c(F)cc(c2N)N)C(=O)[O-])F)N']",Fc1cc2c(c(c1N)N)c(C(=O)[O-])c1c(c2C(=O)[O-])c(F)c(c(c1N)N)N.[O-]C(=O)C#CC12C(F)CC(C(C1F)(N)N)(C(C2N)(N)F)C#CC(=O)[O-].[O-]C(=O)C#CC12CCC(C(C1)N)(C(C2F)F)C#CC(=O)[O-].[O-]C(=O)c1c2ccc(c(c2c(c2c1c(F)cc(c2N)N)C(=O)[O-])F)N.[O].[V],"rna,pcu",0,mof_unit_pretest_1044
3,"CC1Cc2c1c(cc(c2C(=O)[O-])C)C(=O)[O-].CC1Cc2c1nccn2.OC(=O)c1c(C(=O)O)c(C=Cc2ccc(cc2)C(=O)[O-])ccc1C(=O)[O-].[Cu][Cu] MOFid-v1.pcu,UNKNOWN.cat0;mof_unit_pretest_1045",Cu.DDWJXXBXDQWDBP.PZDIQSBQYZWTGV.SABWXKZIXXIUTE.MOFkey-v1.pcu,['[Cu][Cu]'],"['CC1Cc2c1c(cc(c2C(=O)[O-])C)C(=O)[O-]', 'CC1Cc2c1nccn2', 'OC(=O)c1c(C(=O)O)c(C=Cc2ccc(cc2)C(=O)[O-])ccc1C(=O)[O-]']",CC1Cc2c1c(cc(c2C(=O)[O-])C)C(=O)[O-].CC1Cc2c1nccn2.OC(=O)c1c(C(=O)O)c(C=Cc2ccc(cc2)C(=O)[O-])ccc1C(=O)[O-].[Cu][Cu],"pcu,UNKNOWN",0,mof_unit_pretest_1045
4,"CCOc1cc(c(cc1c1ccc(cc1)C(=O)[O-])OCC)c1ccc(cc1)C(=O)[O-].CCOc1cnccc1c1ccc(cc1)c1ccncc1OCC.[O-]C(=O)C=CC(=O)[O-].[Zn][Zn] MOFid-v1.ERROR,pcu.cat0;mof_unit_pretest_1072",Zn.GYLFLCUFIAAITJ.VZCYOOQTPOCHFL.XTXJWSSDDXACAQ.MOFkey-v1.ERROR,['[Zn][Zn]'],"['CCOc1cc(c(cc1c1ccc(cc1)C(=O)[O-])OCC)c1ccc(cc1)C(=O)[O-]', 'CCOc1cnccc1c1ccc(cc1)c1ccncc1OCC', '[O-]C(=O)C=CC(=O)[O-]']",CCOc1cc(c(cc1c1ccc(cc1)C(=O)[O-])OCC)c1ccc(cc1)C(=O)[O-].CCOc1cnccc1c1ccc(cc1)c1ccncc1OCC.[O-]C(=O)C=CC(=O)[O-].[Zn][Zn],"ERROR,pcu",0,mof_unit_pretest_1072
5,[O-]C(=O)c1c(F)c(c(c(c1F)S([O])([O])O)C(=O)[O-])S([O])(O)[O].[O-]C(=O)c1cc(c(c(c1F)S([O])(O)[O])C(=O)[O-])S([O])(O)[O].[O-]C(=O)c1cc2c(F)c(F)c(c(c2cc1F)F)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)c(c(c(c2S([O])([O])O)C(=O)[O-])S([O])([O])O)S(O)([O])[O].[O].[V] MOFid-v1.rna.cat0;mof_unit_pretest_1073,V.JJIQSBJOQMJUNI.KIZWFGRAKFECEB.LARJSICNCNMLGE.ZRHSOGXSJFUKFB.MOFkey-v1.rna,"['[O]', '[V]']","['[O-]C(=O)c1c(F)c(c(c(c1F)S([O])([O])O)C(=O)[O-])S([O])(O)[O]', '[O-]C(=O)c1cc(c(c(c1F)S([O])(O)[O])C(=O)[O-])S([O])(O)[O]', '[O-]C(=O)c1cc2c(F)c(F)c(c(c2cc1F)F)C(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)c(c(c(c2S([O])([O])O)C(=O)[O-])S([O])([O])O)S(O)([O])[O]']",[O-]C(=O)c1c(F)c(c(c(c1F)S([O])([O])O)C(=O)[O-])S([O])(O)[O].[O-]C(=O)c1cc(c(c(c1F)S([O])(O)[O])C(=O)[O-])S([O])(O)[O].[O-]C(=O)c1cc2c(F)c(F)c(c(c2cc1F)F)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)c(c(c(c2S([O])([O])O)C(=O)[O-])S([O])([O])O)S(O)([O])[O].[O].[V],rna,0,mof_unit_pretest_1073
6,"[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1c(c3ccccc3)c(c3ccccc3)c3c(c1c(c2c1ccccc1)c1ccccc1)cc(cc3)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1cc(c3ccccc3)c3c(c1cc2c1ccccc1)cc(cc3)C(=O)[O-].[O].[V] MOFid-v1.rna,acs.cat0;mof_unit_pretest_1122",V.DHXUNHSXMOGZAD.IVHBREJLPGXBAS.UQAFWHFDOORWNT.MOFkey-v1.rna,"['[O]', '[V]']","['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)c1c(c3ccccc3)c(c3ccccc3)c3c(c1c(c2c1ccccc1)c1ccccc1)cc(cc3)C(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)c1cc(c3ccccc3)c3c(c1cc2c1ccccc1)cc(cc3)C(=O)[O-]']",[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1c(c3ccccc3)c(c3ccccc3)c3c(c1c(c2c1ccccc1)c1ccccc1)cc(cc3)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1cc(c3ccccc3)c3c(c1cc2c1ccccc1)cc(cc3)C(=O)[O-].[O].[V],"rna,acs",0,mof_unit_pretest_1122
7,"CCCc1c(ccc(c1N(=O)=O)C#Cc1ccc(c(c1N(=O)=O)CCC)C(=O)[O-])C(=O)[O-].[Cr][O]([Cr])[Cr] MOFid-v1.acs,pcu.cat0;mof_unit_pretest_1175",Cr.MGLRUKDJLMLHAA.MOFkey-v1.acs,['[Cr][O]([Cr])[Cr]'],['CCCc1c(ccc(c1N(=O)=O)C#Cc1ccc(c(c1N(=O)=O)CCC)C(=O)[O-])C(=O)[O-]'],CCCc1c(ccc(c1N(=O)=O)C#Cc1ccc(c(c1N(=O)=O)CCC)C(=O)[O-])C(=O)[O-].[Cr][O]([Cr])[Cr],"acs,pcu",0,mof_unit_pretest_1175
8,CCCOc1c(ccc2c1ccc(c2OCCC)C(=O)[O-])C(=O)[O-].CCCOc1cc(cc(c1C(=O)[O-])OCCC)C1=N[N]C(=N[N]1)c1cc(OCCC)c(c(c1)OCCC)C(=O)[O-].[Cu][Cu].c1ncc2c(c1)cncc2 MOFid-v1.pcu.cat0;mof_unit_pretest_1182,Cu.CKQPERSFROESCH.FMMWVWPDFYJTCM.SSNMISUJOQAFRR.MOFkey-v1.pcu,['[Cu][Cu]'],"['CCCOc1c(ccc2c1ccc(c2OCCC)C(=O)[O-])C(=O)[O-]', 'CCCOc1cc(cc(c1C(=O)[O-])OCCC)C1=N[N]C(=N[N]1)c1cc(OCCC)c(c(c1)OCCC)C(=O)[O-]', 'c1ncc2c(c1)cncc2']",CCCOc1c(ccc2c1ccc(c2OCCC)C(=O)[O-])C(=O)[O-].CCCOc1cc(cc(c1C(=O)[O-])OCCC)C1=N[N]C(=N[N]1)c1cc(OCCC)c(c(c1)OCCC)C(=O)[O-].[Cu][Cu].c1ncc2c(c1)cncc2,pcu,0,mof_unit_pretest_1182
9,"O=N(=O)[C]([C](N(=O)=O)[N]N(=O)=O)[N]N(=O)=O.[O-]C(=O)C=CC=CC(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1ccc3c(c1cc2)cc(cc3)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu,rna.cat0;mof_unit_pretest_1199",Zn.RPULNYNMMXSKDA.SDNNFAHZLIROLG.TXXHDPDFNKHHGW.MOFkey-v1.pcu,['[Zn][Zn]'],"['O=N(=O)[C]([C](N(=O)=O)[N]N(=O)=O)[N]N(=O)=O', '[O-]C(=O)C=CC=CC(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)c1ccc3c(c1cc2)cc(cc3)C(=O)[O-]']",O=N(=O)[C]([C](N(=O)=O)[N]N(=O)=O)[N]N(=O)=O.[O-]C(=O)C=CC=CC(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1ccc3c(c1cc2)cc(cc3)C(=O)[O-].[Zn][Zn],"pcu,rna",0,mof_unit_pretest_1199
10,"OC1=Nc2c(O)c(Cl)c3c(c2[C]([C]1O)Cl)c(O)nc(c3Cl)Cl.[O-]C(=O)c1c(O)c(O)c2c(c1O)c1c(Cl)c(O)c(c(c1c(c2O)O)C(=O)[O-])Cl.[O-]C(=O)c1c(O)c2c(Cl)c(Cl)c3c4c2c(c1Cl)cc(c4c(c(c3Cl)C(=O)[O-])Cl)Cl.[Zn][Zn] MOFid-v1.pcu,UNKNOWN.cat0;mof_unit_pretest_1215",Zn.HIQKXZACRMMFAI.NRMAFIHWSURAGX.NVRGFMPZIGIJCZ.MOFkey-v1.pcu,['[Zn][Zn]'],"['OC1=Nc2c(O)c(Cl)c3c(c2[C]([C]1O)Cl)c(O)nc(c3Cl)Cl', '[O-]C(=O)c1c(O)c(O)c2c(c1O)c1c(Cl)c(O)c(c(c1c(c2O)O)C(=O)[O-])Cl', '[O-]C(=O)c1c(O)c2c(Cl)c(Cl)c3c4c2c(c1Cl)cc(c4c(c(c3Cl)C(=O)[O-])Cl)Cl']",OC1=Nc2c(O)c(Cl)c3c(c2[C]([C]1O)Cl)c(O)nc(c3Cl)Cl.[O-]C(=O)c1c(O)c(O)c2c(c1O)c1c(Cl)c(O)c(c(c1c(c2O)O)C(=O)[O-])Cl.[O-]C(=O)c1c(O)c2c(Cl)c(Cl)c3c4c2c(c1Cl)cc(c4c(c(c3Cl)C(=O)[O-])Cl)Cl.[Zn][Zn],"pcu,UNKNOWN",0,mof_unit_pretest_1215
11,"CCCC12C3C4(C2(C2C1(C3(C42CCC)C(=O)[O-])C(=O)O)C(=O)[O-])C(=O)O.CCCC12N3C4C2(N2C1C3(C42CCC)C(=O)O)C(=O)O.OC(=O)c1cc(C(=O)[O-])c(cc1N1C(=O)c2cc(C(=O)O)c3c4c2c(C1=O)c(cc4C(=O)N(C3=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)[O-])C(=O)O)C(=O)O.[Zn][Zn] MOFid-v1.pcu,acs.cat0;mof_unit_pretest_1225",Zn.BZVCZZXGGWOUHC.PNFUTFXQRIANBF.YFRQOUMNMMUNSR.MOFkey-v1.pcu,['[Zn][Zn]'],"['CCCC12C3C4(C2(C2C1(C3(C42CCC)C(=O)[O-])C(=O)O)C(=O)[O-])C(=O)O', 'CCCC12N3C4C2(N2C1C3(C42CCC)C(=O)O)C(=O)O', 'OC(=O)c1cc(C(=O)[O-])c(cc1N1C(=O)c2cc(C(=O)O)c3c4c2c(C1=O)c(cc4C(=O)N(C3=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)[O-])C(=O)O)C(=O)O']",CCCC12C3C4(C2(C2C1(C3(C42CCC)C(=O)[O-])C(=O)O)C(=O)[O-])C(=O)O.CCCC12N3C4C2(N2C1C3(C42CCC)C(=O)O)C(=O)O.OC(=O)c1cc(C(=O)[O-])c(cc1N1C(=O)c2cc(C(=O)O)c3c4c2c(C1=O)c(cc4C(=O)N(C3=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)[O-])C(=O)O)C(=O)O.[Zn][Zn],"pcu,acs",0,mof_unit_pretest_1225
12,"[O-]C(=O)C#CC12C(I)C(N)C(C(C1I)I)(C(C2N)(N)I)C#CC(=O)[O-].[O-]C(=O)c1c(N)c2c(N)c(I)c3c4c2c(c1N)c(I)c(c4c(c(c3I)C(=O)[O-])N)I.[O].[V] MOFid-v1.rna,acs.cat0;mof_unit_pretest_1226",V.CQTKFDQNJUHITD.MFQWKIICBCWUMW.MOFkey-v1.rna,"['[O]', '[V]']","['[O-]C(=O)C#CC12C(I)C(N)C(C(C1I)I)(C(C2N)(N)I)C#CC(=O)[O-]', '[O-]C(=O)c1c(N)c2c(N)c(I)c3c4c2c(c1N)c(I)c(c4c(c(c3I)C(=O)[O-])N)I']",[O-]C(=O)C#CC12C(I)C(N)C(C(C1I)I)(C(C2N)(N)I)C#CC(=O)[O-].[O-]C(=O)c1c(N)c2c(N)c(I)c3c4c2c(c1N)c(I)c(c4c(c(c3I)C(=O)[O-])N)I.[O].[V],"rna,acs",0,mof_unit_pretest_1226
13,CCOc1cc2ccc3c(c2cc1C(=O)[O-])cccc3C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;mof_unit_pretest_1237,V.CYUBVULXSNBZOM.MOFkey-v1.rna,"['[O]', '[V]']",['CCOc1cc2ccc3c(c2cc1C(=O)[O-])cccc3C(=O)[O-]'],CCOc1cc2ccc3c(c2cc1C(=O)[O-])cccc3C(=O)[O-].[O].[V],rna,0,mof_unit_pretest_1237
14,"NCCOP(=O)(c1cc(C#Cc2cc(c(c(c2N)P(=O)(OC(CN)N)[O])C=O)P(=O)(OCC)[O])cc(c1C=O)P(=O)(OC(C=O)C)[O])[O].O=CCCOP(=O)(c1cc2c(C=O)c3c(c(c2c(c1)P(=O)(OC(CN)N)[O])C=O)cc(c(c3P(=O)(OCCC=O)[O])N)P(=O)(OCC)[O])[O].[Ba] MOFid-v1.pts,UNKNOWN.cat0;mof_unit_pretest_1277",Ba.KWRIXTATUJKOSS.XEWOBJZDTJAJHK.MOFkey-v1.pts,['[Ba]'],"['NCCOP(=O)(c1cc(C#Cc2cc(c(c(c2N)P(=O)(OC(CN)N)[O])C=O)P(=O)(OCC)[O])cc(c1C=O)P(=O)(OC(C=O)C)[O])[O]', 'O=CCCOP(=O)(c1cc2c(C=O)c3c(c(c2c(c1)P(=O)(OC(CN)N)[O])C=O)cc(c(c3P(=O)(OCCC=O)[O])N)P(=O)(OCC)[O])[O]']",NCCOP(=O)(c1cc(C#Cc2cc(c(c(c2N)P(=O)(OC(CN)N)[O])C=O)P(=O)(OCC)[O])cc(c1C=O)P(=O)(OC(C=O)C)[O])[O].O=CCCOP(=O)(c1cc2c(C=O)c3c(c(c2c(c1)P(=O)(OC(CN)N)[O])C=O)cc(c(c3P(=O)(OCCC=O)[O])N)P(=O)(OCC)[O])[O].[Ba],"pts,UNKNOWN",0,mof_unit_pretest_1277
15,COc1cccc2c1nccn2.[O-]C(=O)C#CC=CC#CC(=O)[O-].[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;mof_unit_pretest_1286,Zn.ABMFBCRYHDZLRD.MOSONEMSJRCCLH.ZPWMPGZCEXPDAS.MOFkey-v1.pcu,['[Zn][Zn]'],"['COc1cccc2c1nccn2', '[O-]C(=O)C#CC=CC#CC(=O)[O-]', '[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-]']",COc1cccc2c1nccn2.[O-]C(=O)C#CC=CC#CC(=O)[O-].[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-].[Zn][Zn],pcu,0,mof_unit_pretest_1286
16,CCCC(=CC(=O)[O-])C(=CC(=O)[O-])CCC.N=CC=N.[Cu][Cu].[O-]C(=O)c1c2ccc(cc2c(c2c1cc(cc2)C(=O)O)C(=O)[O-])C(=O)O MOFid-v1.pcu.cat0;mof_unit_pretest_1292,Cu.AOVWOKXRVZESAW.KYMVBVBRCRFHIE.SCLKOAREBQIRSN.MOFkey-v1.pcu,['[Cu][Cu]'],"['CCCC(=CC(=O)[O-])C(=CC(=O)[O-])CCC', 'N=CC=N', '[O-]C(=O)c1c2ccc(cc2c(c2c1cc(cc2)C(=O)O)C(=O)[O-])C(=O)O']",CCCC(=CC(=O)[O-])C(=CC(=O)[O-])CCC.N=CC=N.[Cu][Cu].[O-]C(=O)c1c2ccc(cc2c(c2c1cc(cc2)C(=O)O)C(=O)[O-])C(=O)O,pcu,0,mof_unit_pretest_1292
17,C[NH]=C([C](c1ccc(c(c1)NC)C(=O)[O-])NC)c1ccc(c(c1)NC)C(=O)[O-].N=N.[O-]C(=O)C=CC(=O)[O-].[Zn][Zn] MOFid-v1.ERROR.cat0;mof_unit_pretest_137,Zn.RAABOESOVLLHRU.UUSZYXHIDITPRD.VZCYOOQTPOCHFL.MOFkey-v1.ERROR,['[Zn][Zn]'],"['C[NH]=C([C](c1ccc(c(c1)NC)C(=O)[O-])NC)c1ccc(c(c1)NC)C(=O)[O-]', 'N=N', '[O-]C(=O)C=CC(=O)[O-]']",C[NH]=C([C](c1ccc(c(c1)NC)C(=O)[O-])NC)c1ccc(c(c1)NC)C(=O)[O-].N=N.[O-]C(=O)C=CC(=O)[O-].[Zn][Zn],ERROR,0,mof_unit_pretest_137
