,mofid,mofkey,smiles_nodes,smiles_linkers,smiles,topology,cat,cifname
0,CCCOP(=O)(c1cc(C=Cc2cc(cc(c2)P(=O)(OCC)[O])P(=O)(OCC)[O])cc(c1)P(=O)(OCC)[O])[O].CCOP(=O)([C]1C=C([CH][C]([CH]1)P(=O)(OCC)[O])N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)C1=C[C]([CH][C]([CH]1)P(=O)(OCC)[O])P(=O)(OC(C)C)[O])[O].[Ba] MOFid-v1.bcu.cat0;mof_unit_37325,,['[Ba]'],"['CCCOP(=O)(c1cc(C=Cc2cc(cc(c2)P(=O)(OCC)[O])P(=O)(OCC)[O])cc(c1)P(=O)(OCC)[O])[O]', 'CCOP(=O)([C]1C=C([CH][C]([CH]1)P(=O)(OCC)[O])N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)C1=C[C]([CH][C]([CH]1)P(=O)(OCC)[O])P(=O)(OC(C)C)[O])[O]']",CCCOP(=O)(c1cc(C=Cc2cc(cc(c2)P(=O)(OCC)[O])P(=O)(OCC)[O])cc(c1)P(=O)(OCC)[O])[O].CCOP(=O)([C]1C=C([CH][C]([CH]1)P(=O)(OCC)[O])N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)C1=C[C]([CH][C]([CH]1)P(=O)(OCC)[O])P(=O)(OC(C)C)[O])[O].[Ba],bcu,0,mof_unit_37325
1,Ic1ccc2c(n1)cc(c1c2cncc1)I.[Cu][Cu].[O-]C(=O)c1cc2c(cc1I)ccc1c2ccc(c1C(=O)[O-])I MOFid-v1.ERROR.cat0;mof_unit_37326,Cu.ANBMMEAWYRYMOW.QHZZRVAKVXYORV.QMYYAWOAHBHPMT.MOFkey-v1.ERROR,['[Cu][Cu]'],"['Ic1ccc2c(n1)cc(c1c2cncc1)I', '[O-]C(=O)c1cc2c(cc1I)ccc1c2ccc(c1C(=O)[O-])I']",Ic1ccc2c(n1)cc(c1c2cncc1)I.[Cu][Cu].[O-]C(=O)c1cc2c(cc1I)ccc1c2ccc(c1C(=O)[O-])I,ERROR,0,mof_unit_37326
2,"C[C]1N=C(O)[C](N=C1O)C.[O-]C(=O)c1cc(c(cc1c1cc(C)c(c(c1C)C)O)C(=O)[O-])c1cc(C)c(c(c1C)C)O.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR,rna.cat0;mof_unit_37327",V.BDEIEOIIZLEVBJ.BLIGUIFLJXUYMB.HADLILYMDLJRQC.HFIWSSMCNJAMGI.MOFkey-v1.ERROR,['[Zn][Zn]'],"['C[C]1N=C(O)[C](N=C1O)C', '[O-]C(=O)c1cc(c(cc1c1cc(C)c(c(c1C)C)O)C(=O)[O-])c1cc(C)c(c(c1C)C)O', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]']",C[C]1N=C(O)[C](N=C1O)C.[O-]C(=O)c1cc(c(cc1c1cc(C)c(c(c1C)C)O)C(=O)[O-])c1cc(C)c(c(c1C)C)O.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn],"ERROR,rna",0,mof_unit_37327
3,CNC1(NC)c2c(ccc(c2C1(F)NC)C(=O)[O-])C(=O)[O-].CNC1C(F)(NC)C2(C#CC(=O)[O-])C(CC1(C#CC(=O)[O-])C(C2(F)NC)(F)F)(NC)NC.CNC1Cc2c1nccn2.[Zn][Zn] MOFid-v1.bcu.cat0;mof_unit_37328,V.BDEIEOIIZLEVBJ.BLIGUIFLJXUYMB.HADLILYMDLJRQC.HFIWSSMCNJAMGI.MOFkey-v1.bcu,['[Zn][Zn]'],"['CNC1(NC)c2c(ccc(c2C1(F)NC)C(=O)[O-])C(=O)[O-]', 'CNC1C(F)(NC)C2(C#CC(=O)[O-])C(CC1(C#CC(=O)[O-])C(C2(F)NC)(F)F)(NC)NC', 'CNC1Cc2c1nccn2']",CNC1(NC)c2c(ccc(c2C1(F)NC)C(=O)[O-])C(=O)[O-].CNC1C(F)(NC)C2(C#CC(=O)[O-])C(CC1(C#CC(=O)[O-])C(C2(F)NC)(F)F)(NC)NC.CNC1Cc2c1nccn2.[Zn][Zn],bcu,0,mof_unit_37328
4,[O-]C(=O)c1cc(Br)c(c2c1cccc2Br)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[Zn][Zn].c1ncc2c(c1)cncc2 MOFid-v1.nbo.cat0;mof_unit_37329,Cr.CIUXNXMDDUJOQZ.GREPMZJIIQXCCG.JSKJNYPCPMAVTK.KKEYFWRCBNTPAC.LWKOWFVDUSZDRA.QYXNUJNWTIONPD.MOFkey-v1.nbo,['[Zn][Zn]'],"['[O-]C(=O)c1cc(Br)c(c2c1cccc2Br)C(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]', 'c1ncc2c(c1)cncc2']",[O-]C(=O)c1cc(Br)c(c2c1cccc2Br)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[Zn][Zn].c1ncc2c(c1)cncc2,nbo,0,mof_unit_37329
5,"CCOc1cc2ccc3c(c2c(c1C(=O)[O-])C)cccc3C(=O)[O-].CCOc1cc2ncc(cc2c2c1cc(C)nc2)C.[Zn][Zn] MOFid-v1.rna,pcu.cat0;mof_unit_37330",Cu.ANBMMEAWYRYMOW.QHZZRVAKVXYORV.QMYYAWOAHBHPMT.MOFkey-v1.rna,['[Zn][Zn]'],"['CCOc1cc2ccc3c(c2c(c1C(=O)[O-])C)cccc3C(=O)[O-]', 'CCOc1cc2ncc(cc2c2c1cc(C)nc2)C']",CCOc1cc2ccc3c(c2c(c1C(=O)[O-])C)cccc3C(=O)[O-].CCOc1cc2ncc(cc2c2c1cc(C)nc2)C.[Zn][Zn],"rna,pcu",0,mof_unit_37330
6,"[O-]C(=O)C=C(C(=O)[O-])C.[O-]C(=O)c1ccc2c(c1O)c1c(C)c(C)c(c(c1c(c2C)C)C(=O)[O-])C.[O].[V] MOFid-v1.ERROR,pcu.cat0;mof_unit_37331",Cu.ANBMMEAWYRYMOW.QHZZRVAKVXYORV.QMYYAWOAHBHPMT.MOFkey-v1.ERROR,"['[O]', '[V]']","['[O-]C(=O)C=C(C(=O)[O-])C', '[O-]C(=O)c1ccc2c(c1O)c1c(C)c(C)c(c(c1c(c2C)C)C(=O)[O-])C']",[O-]C(=O)C=C(C(=O)[O-])C.[O-]C(=O)c1ccc2c(c1O)c1c(C)c(C)c(c(c1c(c2C)C)C(=O)[O-])C.[O].[V],"ERROR,pcu",0,mof_unit_37331
7,"COc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-].COc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.COc1cccc2c1c(C(=O)[O-])c1ccccc1c2C(=O)[O-].[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-].[O].[V] MOFid-v1.ERROR,pcu.cat0;mof_unit_37332",Cu.ANBMMEAWYRYMOW.QHZZRVAKVXYORV.QMYYAWOAHBHPMT.MOFkey-v1.ERROR,"['[O]', '[V]']","['COc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-]', 'COc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1', 'COc1cccc2c1c(C(=O)[O-])c1ccccc1c2C(=O)[O-]', '[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-]']",COc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-].COc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.COc1cccc2c1c(C(=O)[O-])c1ccccc1c2C(=O)[O-].[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-].[O].[V],"ERROR,pcu",0,mof_unit_37332
8,"OC(=C(C(=O)[O-])O)C(=O)[O-].OC1=N[C](N(=O)=O)C(=N[C]1N(=O)=O)O.[Cu][Cu].[O-]C(=O)c1c(N(=O)=O)c(O)c(c(c1O)N(=O)=O)C(=O)[O-] MOFid-v1.ERROR,rna.cat0;mof_unit_37333",V.BDEIEOIIZLEVBJ.BLIGUIFLJXUYMB.HADLILYMDLJRQC.HFIWSSMCNJAMGI.MOFkey-v1.ERROR,['[Cu][Cu]'],"['OC(=C(C(=O)[O-])O)C(=O)[O-]', 'OC1=N[C](N(=O)=O)C(=N[C]1N(=O)=O)O', '[O-]C(=O)c1c(N(=O)=O)c(O)c(c(c1O)N(=O)=O)C(=O)[O-]']",OC(=C(C(=O)[O-])O)C(=O)[O-].OC1=N[C](N(=O)=O)C(=N[C]1N(=O)=O)O.[Cu][Cu].[O-]C(=O)c1c(N(=O)=O)c(O)c(c(c1O)N(=O)=O)C(=O)[O-],"ERROR,rna",0,mof_unit_37333
9,"COC1C(O)c2c1c(ccc2C(=O)[O-])C(=O)[O-].COc1cc(C(=O)[O-])c2c(c1C(=O)[O-])CC2.OC(=CC=C(C(=O)[O-])O)C(=O)[O-].[O-]C(=O)c1cc(O)c(c2c1CC2)C(=O)[O-].[O].[V] MOFid-v1.ERROR,rna.cat0;mof_unit_37334",Cu.ANBMMEAWYRYMOW.QHZZRVAKVXYORV.QMYYAWOAHBHPMT.MOFkey-v1.ERROR,"['[O]', '[V]']","['COC1C(O)c2c1c(ccc2C(=O)[O-])C(=O)[O-]', 'COc1cc(C(=O)[O-])c2c(c1C(=O)[O-])CC2', 'OC(=CC=C(C(=O)[O-])O)C(=O)[O-]', '[O-]C(=O)c1cc(O)c(c2c1CC2)C(=O)[O-]']",COC1C(O)c2c1c(ccc2C(=O)[O-])C(=O)[O-].COc1cc(C(=O)[O-])c2c(c1C(=O)[O-])CC2.OC(=CC=C(C(=O)[O-])O)C(=O)[O-].[O-]C(=O)c1cc(O)c(c2c1CC2)C(=O)[O-].[O].[V],"ERROR,rna",0,mof_unit_37334
