,mofid,mofkey,smiles_nodes,smiles_linkers,smiles,topology,cat,cifname
0,CNC1CC2(C(=O)[O-])C(C(C1(CC2(NC)N(=O)=O)C(=O)[O-])N(=O)=O)N(=O)=O.CNc1cc2c(C(=O)[O-])c3c(N(=O)=O)c(NC)ccc3c(c2c(c1)N(=O)=O)C(=O)[O-].CNc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(c(c1NC)N(=O)=O)NC.CNc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.O=N(=O)c1cc2c(C(=O)[O-])c3c(N(=O)=O)c(ccc3c(c2c(c1)N(=O)=O)C(=O)[O-])N(=O)=O.[Cu][Cu] MOFid-v1.nbo.cat0;mof_unit_10028,Cu.FAPPFYFCNYMLFW.GURZGZSJGJOSNP.MHQFYNRBCHRXRN.NZYRCYVWFWNMLU.XCKDIRNORYAAFE.MOFkey-v1.nbo,['[Cu][Cu]'],"['CNC1CC2(C(=O)[O-])C(C(C1(CC2(NC)N(=O)=O)C(=O)[O-])N(=O)=O)N(=O)=O', 'CNc1cc2c(C(=O)[O-])c3c(N(=O)=O)c(NC)ccc3c(c2c(c1)N(=O)=O)C(=O)[O-]', 'CNc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(c(c1NC)N(=O)=O)NC', 'CNc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1', 'O=N(=O)c1cc2c(C(=O)[O-])c3c(N(=O)=O)c(ccc3c(c2c(c1)N(=O)=O)C(=O)[O-])N(=O)=O']",CNC1CC2(C(=O)[O-])C(C(C1(CC2(NC)N(=O)=O)C(=O)[O-])N(=O)=O)N(=O)=O.CNc1cc2c(C(=O)[O-])c3c(N(=O)=O)c(NC)ccc3c(c2c(c1)N(=O)=O)C(=O)[O-].CNc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(c(c1NC)N(=O)=O)NC.CNc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.O=N(=O)c1cc2c(C(=O)[O-])c3c(N(=O)=O)c(ccc3c(c2c(c1)N(=O)=O)C(=O)[O-])N(=O)=O.[Cu][Cu],nbo,0,mof_unit_10028
1,[Cr][O]([Cr])[Cr].[O-]C(=O)C12C3C4C2(C2C1C3(C42C(=O)[O-])O)O.[O-]C(=O)c1cc(O)c(c2c1CC2)C(=O)[O-].[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-] MOFid-v1.acs.cat0;mof_unit_10029,Cr.BDEIEOIIZLEVBJ.LUYNGWXJHAVRAY.SUWUPUWPGJRZAT.MOFkey-v1.acs,['[Cr][O]([Cr])[Cr]'],"['[O-]C(=O)C12C3C4C2(C2C1C3(C42C(=O)[O-])O)O', '[O-]C(=O)c1cc(O)c(c2c1CC2)C(=O)[O-]', '[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-]']",[Cr][O]([Cr])[Cr].[O-]C(=O)C12C3C4C2(C2C1C3(C42C(=O)[O-])O)O.[O-]C(=O)c1cc(O)c(c2c1CC2)C(=O)[O-].[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-],acs,0,mof_unit_10029
2,BrN=NBr.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-].[O-]C(=O)c1ccc2c(c1N(=O)=O)ccc(c2N(=O)=O)C(=O)[O-] MOFid-v1.ERROR.cat0;mof_unit_10512,Cu.KYGRLFLHMAWPRE.UBEQPEHVXDIZHX.VZCYOOQTPOCHFL.MOFkey-v1.ERROR,['[Cu][Cu]'],"['BrN=NBr', '[O-]C(=O)C=CC(=O)[O-]', '[O-]C(=O)c1ccc2c(c1N(=O)=O)ccc(c2N(=O)=O)C(=O)[O-]']",BrN=NBr.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-].[O-]C(=O)c1ccc2c(c1N(=O)=O)ccc(c2N(=O)=O)C(=O)[O-],ERROR,0,mof_unit_10512
3,[O-]C(=O)c1cc2ccc3c4c2c(c1c1ccccc1)ccc4cc(c3c1ccccc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn].n1ccncc1 MOFid-v1.pcu.cat0;mof_unit_10962,Zn.KKEYFWRCBNTPAC.KYQCOXFCLRTKLS.RZMCLABYZUKXJP.MOFkey-v1.pcu,['[Zn][Zn]'],"['[O-]C(=O)c1cc2ccc3c4c2c(c1c1ccccc1)ccc4cc(c3c1ccccc1)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]', 'n1ccncc1']",[O-]C(=O)c1cc2ccc3c4c2c(c1c1ccccc1)ccc4cc(c3c1ccccc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn].n1ccncc1,pcu,0,mof_unit_10962
4,COC12C3(C#CC(=O)[O-])C4(C1(O)C1(C2(C3(C41OC)OC)OC)C#CC(=O)[O-])O.COc1c(O)c(C(=O)[O-])c2c(c1OC)c1c(OC)c(C(=O)[O-])c(c(c1c(c2OC)O)O)O.[O].[V] MOFid-v1.rna.cat0;mof_unit_12071,V.CEJORIYZHCZXPH.LTDKXJPTVMEAPI.MOFkey-v1.rna,"['[O]', '[V]']","['COC12C3(C#CC(=O)[O-])C4(C1(O)C1(C2(C3(C41OC)OC)OC)C#CC(=O)[O-])O', 'COc1c(O)c(C(=O)[O-])c2c(c1OC)c1c(OC)c(C(=O)[O-])c(c(c1c(c2OC)O)O)O']",COC12C3(C#CC(=O)[O-])C4(C1(O)C1(C2(C3(C41OC)OC)OC)C#CC(=O)[O-])O.COc1c(O)c(C(=O)[O-])c2c(c1OC)c1c(OC)c(C(=O)[O-])c(c(c1c(c2OC)O)O)O.[O].[V],rna,0,mof_unit_12071
5,O=CC1=NN=C[C]1[C]1C=C[C]([C]2[C]1CC2)[C]1C=NN=C1.O=CC1=NN=C[C]1c1ccc(c2c1CC2)C1=C[N]N=C1C=O.O=CC1=NN=C[C]1c1ccc(c2c1CC2)[C]1C=NN=C1.O=CC1=N[N]C=C1[C]1C=C[C]([C]2[C]1CC2)C1=C[N]N=C1.O=CC1=N[N]C=C1c1ccc(c2c1CC2)C1=C(C=O)N=N[CH]1.O=C[C]1[N][N]C=C1[C]1C=C[C]([C]2[C]1CC2)[C]1C=NN=C1.O=N(=O)C1=N[N]C=C1[CH][CH]C=C[C]1C=NN=C1N(=O)=O.[Ni] MOFid-v1.UNKNOWN.cat0;mof_unit_12183,Ni.GUUGCAJHULJISY.LRSQJYVFTFDUKL.ZDGQIHJAEYJMPX.MOFkey-v1.UNKNOWN,['[Ni]'],"['O=CC1=NN=C[C]1[C]1C=C[C]([C]2[C]1CC2)[C]1C=NN=C1', 'O=CC1=NN=C[C]1c1ccc(c2c1CC2)C1=C[N]N=C1C=O', 'O=CC1=NN=C[C]1c1ccc(c2c1CC2)[C]1C=NN=C1', 'O=CC1=N[N]C=C1[C]1C=C[C]([C]2[C]1CC2)C1=C[N]N=C1', 'O=CC1=N[N]C=C1c1ccc(c2c1CC2)C1=C(C=O)N=N[CH]1', 'O=C[C]1[N][N]C=C1[C]1C=C[C]([C]2[C]1CC2)[C]1C=NN=C1', 'O=N(=O)C1=N[N]C=C1[CH][CH]C=C[C]1C=NN=C1N(=O)=O']",O=CC1=NN=C[C]1[C]1C=C[C]([C]2[C]1CC2)[C]1C=NN=C1.O=CC1=NN=C[C]1c1ccc(c2c1CC2)C1=C[N]N=C1C=O.O=CC1=NN=C[C]1c1ccc(c2c1CC2)[C]1C=NN=C1.O=CC1=N[N]C=C1[C]1C=C[C]([C]2[C]1CC2)C1=C[N]N=C1.O=CC1=N[N]C=C1c1ccc(c2c1CC2)C1=C(C=O)N=N[CH]1.O=C[C]1[N][N]C=C1[C]1C=C[C]([C]2[C]1CC2)[C]1C=NN=C1.O=N(=O)C1=N[N]C=C1[CH][CH]C=C[C]1C=NN=C1N(=O)=O.[Ni],UNKNOWN,0,mof_unit_12183
6,COc1cc(ccc1C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].COc1cc(ccc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Cr][O]([Cr])[Cr].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)C(=O)[O-] MOFid-v1.acs.cat0;mof_unit_12248,Cr.FZTIWOBQQYPTCJ.IKYWNGHDIBBDBL.ZSBMFSDKZWJTBJ.MOFkey-v1.acs,['[Cr][O]([Cr])[Cr]'],"['COc1cc(ccc1C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-]', 'COc1cc(ccc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]']",COc1cc(ccc1C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].COc1cc(ccc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Cr][O]([Cr])[Cr].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],acs,0,mof_unit_12248
7,CN=NC.C[C]([C](C(=O)[O-])C)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1c(C)cc3c(c1c(c2)C)cc(cc3)C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR.cat0;mof_unit_12363,Zn.CGBYBGVMDAPUIH.JCCAVOLDXDEODY.MLAWSHJPIIYZJB.MOFkey-v1.ERROR,['[Zn][Zn]'],"['CN=NC', 'C[C]([C](C(=O)[O-])C)C(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)c1c(C)cc3c(c1c(c2)C)cc(cc3)C(=O)[O-]']",CN=NC.C[C]([C](C(=O)[O-])C)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1c(C)cc3c(c1c(c2)C)cc(cc3)C(=O)[O-].[Zn][Zn],ERROR,0,mof_unit_12363
8,"CCOP(=O)([C]1[CH]C(=C[C]([CH]1)P(=O)(OCC)[O])N1C(=O)c2ccc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1cc(cc(c1)P(=O)(OCC)[O])P(=O)(OCC)[O])OC)[O].CCOP(=O)(c1cc(cc(c1)P(=O)(OC(OC)C)[O])c1ccc(c(c1)OC)c1cc(cc(c1)P(=O)(OC(OC)C)[O])P(=O)(OCC)[O])[O].[Ba] MOFid-v1.pts,UNKNOWN.cat0;mof_unit_12533",Ba.KUWBSBYSNIEWMZ.NUNQUPAURGRYMQ.MOFkey-v1.pts,['[Ba]'],"['CCOP(=O)([C]1[CH]C(=C[C]([CH]1)P(=O)(OCC)[O])N1C(=O)c2ccc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1cc(cc(c1)P(=O)(OCC)[O])P(=O)(OCC)[O])OC)[O]', 'CCOP(=O)(c1cc(cc(c1)P(=O)(OC(OC)C)[O])c1ccc(c(c1)OC)c1cc(cc(c1)P(=O)(OC(OC)C)[O])P(=O)(OCC)[O])[O]']",CCOP(=O)([C]1[CH]C(=C[C]([CH]1)P(=O)(OCC)[O])N1C(=O)c2ccc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1cc(cc(c1)P(=O)(OCC)[O])P(=O)(OCC)[O])OC)[O].CCOP(=O)(c1cc(cc(c1)P(=O)(OC(OC)C)[O])c1ccc(c(c1)OC)c1cc(cc(c1)P(=O)(OC(OC)C)[O])P(=O)(OCC)[O])[O].[Ba],"pts,UNKNOWN",0,mof_unit_12533
9,IC1=C(C=C[CH]C=C2C=NN=C2)C=N[N]1.IC1=C([CH][CH][CH][CH][C]2C=NN=C2)C=N[N]1.IC1=NN=C[C]1C=C[CH][CH]C1=C[N]N=C1.IC1=NN=C[C]1[CH][CH][CH][CH]C1=C[N]N=C1.O=N(=O)C1=NN=C([C]1c1cc2ccc(cc2c(c1)N(=O)=O)C1=C[N]N=C1)N(=O)=O.O=N(=O)C1=NN=C([C]1c1cc2ccc(cc2c(c1)N(=O)=O)[C]1C=NN=C1)N(=O)=O.O=N(=O)C1=N[N]C(=C1c1cc2ccc(cc2c(c1)N(=O)=O)C1=C[N]N=C1)N(=O)=O.O=N(=O)C1=N[N]C(=C1c1cc2ccc(cc2c(c1)N(=O)=O)[C]1C=NN=C1)N(=O)=O.[Ni] MOFid-v1.bcu.cat0;mof_unit_12802,Ni.MSKXNERCEZFKGA.QYXQJOYWGLLEHS.MOFkey-v1.bcu,['[Ni]'],"['IC1=C(C=C[CH]C=C2C=NN=C2)C=N[N]1', 'IC1=C([CH][CH][CH][CH][C]2C=NN=C2)C=N[N]1', 'IC1=NN=C[C]1C=C[CH][CH]C1=C[N]N=C1', 'IC1=NN=C[C]1[CH][CH][CH][CH]C1=C[N]N=C1', 'O=N(=O)C1=NN=C([C]1c1cc2ccc(cc2c(c1)N(=O)=O)C1=C[N]N=C1)N(=O)=O', 'O=N(=O)C1=NN=C([C]1c1cc2ccc(cc2c(c1)N(=O)=O)[C]1C=NN=C1)N(=O)=O', 'O=N(=O)C1=N[N]C(=C1c1cc2ccc(cc2c(c1)N(=O)=O)C1=C[N]N=C1)N(=O)=O', 'O=N(=O)C1=N[N]C(=C1c1cc2ccc(cc2c(c1)N(=O)=O)[C]1C=NN=C1)N(=O)=O']",IC1=C(C=C[CH]C=C2C=NN=C2)C=N[N]1.IC1=C([CH][CH][CH][CH][C]2C=NN=C2)C=N[N]1.IC1=NN=C[C]1C=C[CH][CH]C1=C[N]N=C1.IC1=NN=C[C]1[CH][CH][CH][CH]C1=C[N]N=C1.O=N(=O)C1=NN=C([C]1c1cc2ccc(cc2c(c1)N(=O)=O)C1=C[N]N=C1)N(=O)=O.O=N(=O)C1=NN=C([C]1c1cc2ccc(cc2c(c1)N(=O)=O)[C]1C=NN=C1)N(=O)=O.O=N(=O)C1=N[N]C(=C1c1cc2ccc(cc2c(c1)N(=O)=O)C1=C[N]N=C1)N(=O)=O.O=N(=O)C1=N[N]C(=C1c1cc2ccc(cc2c(c1)N(=O)=O)[C]1C=NN=C1)N(=O)=O.[Ni],bcu,0,mof_unit_12802
