,mofid,mofkey,smiles_nodes,smiles_linkers,smiles,topology,cat,cifname
0,"CCCOc1cc(ccc1C(=O)[O-])C1=N[N]C(=N[N]1)c1ccc(cc1OCCC)C(=O)[O-].CCCOc1cc(ccc1c1nnc(nn1)c1ccc(cc1)C(=O)[O-])C(=O)[O-].[Cr][O]([Cr])[Cr].[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1nnc(nn1)c1ccc(cc1)C(=O)[O-] MOFid-v1.ERROR,acs.cat0;mof_unit_pretest_1","Cr.SBSPXSJZGDSXRS.MOFkey-v1.ERROR
NVOO.RUZXEQYSTTUOAC.RYFVKTNONYVZPO.MOFkey-v1.ERROR",['[Cr][O]([Cr])[Cr]'],"['CCCOc1cc(ccc1C(=O)[O-])C1=N[N]C(=N[N]1)c1ccc(cc1OCCC)C(=O)[O-]', 'CCCOc1cc(ccc1c1nnc(nn1)c1ccc(cc1)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)c1nnc(nn1)c1ccc(cc1)C(=O)[O-]']",CCCOc1cc(ccc1C(=O)[O-])C1=N[N]C(=N[N]1)c1ccc(cc1OCCC)C(=O)[O-].CCCOc1cc(ccc1c1nnc(nn1)c1ccc(cc1)C(=O)[O-])C(=O)[O-].[Cr][O]([Cr])[Cr].[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1nnc(nn1)c1ccc(cc1)C(=O)[O-],"ERROR,acs",0,mof_unit_pretest_1
1,"N=N.OC(=C(C(=O)[O-])O)C(=O)[O-].[Cu][Cu].[O-]C(=O)c1cc(O)c(c(c1)O)N1C(=O)c2ccc3c4c2c(C1=O)cc(c4c1c2c3c(O)cc3c2c(cc1)C(=O)N(C3=O)c1c(O)cc(cc1O)C(=O)[O-])O MOFid-v1.ERROR,acs.cat0;mof_unit_pretest_10","Cr.SBSPXSJZGDSXRS.MOFkey-v1.ERROR
NVOO.RUZXEQYSTTUOAC.RYFVKTNONYVZPO.MOFkey-v1.ERROR",['[Cu][Cu]'],"['N=N', 'OC(=C(C(=O)[O-])O)C(=O)[O-]', '[O-]C(=O)c1cc(O)c(c(c1)O)N1C(=O)c2ccc3c4c2c(C1=O)cc(c4c1c2c3c(O)cc3c2c(cc1)C(=O)N(C3=O)c1c(O)cc(cc1O)C(=O)[O-])O']",N=N.OC(=C(C(=O)[O-])O)C(=O)[O-].[Cu][Cu].[O-]C(=O)c1cc(O)c(c(c1)O)N1C(=O)c2ccc3c4c2c(C1=O)cc(c4c1c2c3c(O)cc3c2c(cc1)C(=O)N(C3=O)c1c(O)cc(cc1O)C(=O)[O-])O,"ERROR,acs",0,mof_unit_pretest_10
2,"COc1ccc2c(c1)c(cc(c2C(=O)[O-])OC)C(=O)[O-].F[N][C](C(=N)F)F.[O-]C(=O)C=CC=C(C(=O)[O-])F.[Zn][Zn] MOFid-v1.ERROR,bcu.cat0;mof_unit_pretest_100",Zn.MHKFAUJUMPGPEL.PTYIDKBTGREHJW.QWNBCASECAJUST.MOFkey-v1.ERROR,['[Zn][Zn]'],"['COc1ccc2c(c1)c(cc(c2C(=O)[O-])OC)C(=O)[O-]', 'F[N][C](C(=N)F)F', '[O-]C(=O)C=CC=C(C(=O)[O-])F']",COc1ccc2c(c1)c(cc(c2C(=O)[O-])OC)C(=O)[O-].F[N][C](C(=N)F)F.[O-]C(=O)C=CC=C(C(=O)[O-])F.[Zn][Zn],"ERROR,bcu",0,mof_unit_pretest_100
3,"OC(=O)C(=C(C(=O)O)C#CC(=O)[O-])C#CC(=O)[O-].OC(=O)c1c2cc(N(=O)=O)c(c(c2cc(c1C(=O)[O-])N(=O)=O)C(=O)O)C(=O)[O-].[O].[V] MOFid-v1.pcu,nbo.cat0;mof_unit_pretest_1000",Cu.CKQPERSFROESCH.FMMWVWPDFYJTCM.SSNMISUJOQAFRR.MOFkey-v1.pcu,"['[O]', '[V]']","['OC(=O)C(=C(C(=O)O)C#CC(=O)[O-])C#CC(=O)[O-]', 'OC(=O)c1c2cc(N(=O)=O)c(c(c2cc(c1C(=O)[O-])N(=O)=O)C(=O)O)C(=O)[O-]']",OC(=O)C(=C(C(=O)O)C#CC(=O)[O-])C#CC(=O)[O-].OC(=O)c1c2cc(N(=O)=O)c(c(c2cc(c1C(=O)[O-])N(=O)=O)C(=O)O)C(=O)[O-].[O].[V],"pcu,nbo",0,mof_unit_pretest_1000
4,COc1c(F)c(ccc1N1C(=O)c2c(OC)cc3c4c2c(C1=O)c(OC)c(c4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(c(c1F)F)C(=O)[O-])OC)C(=O)[O-].COc1c(ccc(c1F)N1C(=O)c2ccc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1ccc(c(c1OC)OC)C(=O)[O-])F)C(=O)[O-].COc1cc(ccc1N1C(=O)c2cc(F)c3c4c2c(C1=O)c(F)cc4c1c2c3c(OC)c(OC)c3c2c(c(c1F)OC)C(=O)N(C3=O)c1ccc(cc1OC)C(=O)[O-])C(=O)[O-].COc1cc(ccc1N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1ccc(cc1F)C(=O)[O-])C(=O)[O-].[O].[V] MOFid-v1.ERROR.cat0;mof_unit_pretest_1001,,"['[O]', '[V]']","['COc1c(F)c(ccc1N1C(=O)c2c(OC)cc3c4c2c(C1=O)c(OC)c(c4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(c(c1F)F)C(=O)[O-])OC)C(=O)[O-]', 'COc1c(ccc(c1F)N1C(=O)c2ccc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1ccc(c(c1OC)OC)C(=O)[O-])F)C(=O)[O-]', 'COc1cc(ccc1N1C(=O)c2cc(F)c3c4c2c(C1=O)c(F)cc4c1c2c3c(OC)c(OC)c3c2c(c(c1F)OC)C(=O)N(C3=O)c1ccc(cc1OC)C(=O)[O-])C(=O)[O-]', 'COc1cc(ccc1N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1ccc(cc1F)C(=O)[O-])C(=O)[O-]']",COc1c(F)c(ccc1N1C(=O)c2c(OC)cc3c4c2c(C1=O)c(OC)c(c4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(c(c1F)F)C(=O)[O-])OC)C(=O)[O-].COc1c(ccc(c1F)N1C(=O)c2ccc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1ccc(c(c1OC)OC)C(=O)[O-])F)C(=O)[O-].COc1cc(ccc1N1C(=O)c2cc(F)c3c4c2c(C1=O)c(F)cc4c1c2c3c(OC)c(OC)c3c2c(c(c1F)OC)C(=O)N(C3=O)c1ccc(cc1OC)C(=O)[O-])C(=O)[O-].COc1cc(ccc1N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1ccc(cc1F)C(=O)[O-])C(=O)[O-].[O].[V],ERROR,0,mof_unit_pretest_1001
5,CCC(=C[CH][CH]C(=O)[O-])C(=O)[O-].CCC1C(CC)C2(CCC1(CC2)C(=O)[O-])C(=O)[O-].CC[C]([CH]C(=O)[O-])[CH][CH]C(=O)[O-].[Cr][O]([Cr])[Cr].[O-]C(=O)[CH][CH]C=CC(=O)[O-].[O-]C(=O)[CH][CH][CH][CH]C(=O)[O-] MOFid-v1.ERROR.cat0;mof_unit_pretest_1002,Cu.BDSKCOABXWOQBJ.DISIUAUSKYEEBT.JRFRQWMWNZGAPM.OKEUUDXETVQWBS.SJLRWKXWKJIJJT.XTJWAARRWCUXNI.MOFkey-v1.ERROR,['[Cr][O]([Cr])[Cr]'],"['CCC(=C[CH][CH]C(=O)[O-])C(=O)[O-]', 'CCC1C(CC)C2(CCC1(CC2)C(=O)[O-])C(=O)[O-]', 'CC[C]([CH]C(=O)[O-])[CH][CH]C(=O)[O-]', '[O-]C(=O)[CH][CH]C=CC(=O)[O-]', '[O-]C(=O)[CH][CH][CH][CH]C(=O)[O-]']",CCC(=C[CH][CH]C(=O)[O-])C(=O)[O-].CCC1C(CC)C2(CCC1(CC2)C(=O)[O-])C(=O)[O-].CC[C]([CH]C(=O)[O-])[CH][CH]C(=O)[O-].[Cr][O]([Cr])[Cr].[O-]C(=O)[CH][CH]C=CC(=O)[O-].[O-]C(=O)[CH][CH][CH][CH]C(=O)[O-],ERROR,0,mof_unit_pretest_1002
6,Nc1c(N)c(O)c2c(c1N)c(C(=O)[O-])c1c(c2C(=O)[O-])c(N)c(c(c1O)O)N.Nc1c(O)c(N)c2c(c1O)c(C(=O)[O-])c1c(c2C(=O)[O-])c(O)c(c(c1O)N)O.Oc1c(N)c(N)c2c(c1O)c(C(=O)[O-])c1c(c2C(=O)[O-])c(O)c(c(c1O)O)N.Oc1cc2c(C(=O)[O-])c3c(O)cc(c(c3c(c2c(c1N)O)C(=O)[O-])N)N.Oc1cc2c(c(c1O)N)c(C(=O)[O-])c1c(c2C(=O)[O-])c(O)ccc1N.[Cu][Cu].[O-]C(=O)C12C(N)C(N)(N)C(C(C1O)(N)N)(C(C2(N)O)(N)O)C(=O)[O-] MOFid-v1.ERROR.cat0;mof_unit_pretest_1003,V.MKTKAUPTFRZUCS.RYFVKTNONYVZPO.MOFkey-v1.ERROR,['[Cu][Cu]'],"['Nc1c(N)c(O)c2c(c1N)c(C(=O)[O-])c1c(c2C(=O)[O-])c(N)c(c(c1O)O)N', 'Nc1c(O)c(N)c2c(c1O)c(C(=O)[O-])c1c(c2C(=O)[O-])c(O)c(c(c1O)N)O', 'Oc1c(N)c(N)c2c(c1O)c(C(=O)[O-])c1c(c2C(=O)[O-])c(O)c(c(c1O)O)N', 'Oc1cc2c(C(=O)[O-])c3c(O)cc(c(c3c(c2c(c1N)O)C(=O)[O-])N)N', 'Oc1cc2c(c(c1O)N)c(C(=O)[O-])c1c(c2C(=O)[O-])c(O)ccc1N', '[O-]C(=O)C12C(N)C(N)(N)C(C(C1O)(N)N)(C(C2(N)O)(N)O)C(=O)[O-]']",Nc1c(N)c(O)c2c(c1N)c(C(=O)[O-])c1c(c2C(=O)[O-])c(N)c(c(c1O)O)N.Nc1c(O)c(N)c2c(c1O)c(C(=O)[O-])c1c(c2C(=O)[O-])c(O)c(c(c1O)N)O.Oc1c(N)c(N)c2c(c1O)c(C(=O)[O-])c1c(c2C(=O)[O-])c(O)c(c(c1O)O)N.Oc1cc2c(C(=O)[O-])c3c(O)cc(c(c3c(c2c(c1N)O)C(=O)[O-])N)N.Oc1cc2c(c(c1O)N)c(C(=O)[O-])c1c(c2C(=O)[O-])c(O)ccc1N.[Cu][Cu].[O-]C(=O)C12C(N)C(N)(N)C(C(C1O)(N)N)(C(C2(N)O)(N)O)C(=O)[O-],ERROR,0,mof_unit_pretest_1003
7,"Nc1c(N)ncc2c1c(N)c(N)c1c2cccn1.[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])N.[O-]C(=O)c1ccc2c(c1)c1c(N)ccc(c1c(c2)N)C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR,bcu.cat0;mof_unit_pretest_1004",Cr.BVPHLWRSPGQWTP.JSESGMIWPFRJLJ.MOFkey-v1.ERROR,['[Zn][Zn]'],"['Nc1c(N)ncc2c1c(N)c(N)c1c2cccn1', '[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])N', '[O-]C(=O)c1ccc2c(c1)c1c(N)ccc(c1c(c2)N)C(=O)[O-]']",Nc1c(N)ncc2c1c(N)c(N)c1c2cccn1.[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])N.[O-]C(=O)c1ccc2c(c1)c1c(N)ccc(c1c(c2)N)C(=O)[O-].[Zn][Zn],"ERROR,bcu",0,mof_unit_pretest_1004
